,Status,Brkr Code,Side,Security,Exch Code,Qty,LmtPx,TIF,FillQty,AvgPx,Data Export Restricted,Data Export Restricted,Data Export Restricted,Data Export Restricted,AvgPx Vs OMS Benchmark Px (Bps),FillQty % Avg Vol 20D,Avg Vol 20D,Data Export Restricted,Volatil 30D,Bid Ask Sprd,Handling Inst,% Filled,GICS Sector,Working Qty,Curncy,Strategy Name,Data Export Restricted,Create Time (As of)
MODR,Filled,CICF,Buy,3905,JP,6000,MKT,GTD,6000,2246,,,,,,0.16701507867802,3592490,,176.6471,10,MAN,100,Information Technology,0,JPY,,,01/12/26
MODR,Filled,ICBI,Buy,SPY,UP,43,MKT,DAY,43,688.81,,,,,,0.000396157748910059,10854262,,14.9237476209207,0.02,MAN,100,,0,USD,NONE,,01/08/26
MODR,Filled,ICBI,Buy,QQQ,UQ,48,MKT,DAY,48,623.04,,,,,,0.000440856808881869,10887889,,26.6496390402537,0.06,AUTO,100,,0,USD,NONE,,01/08/26
MODR,Filled,ICBI,Buy,GLD,UP,244,MKT,DAY,244,406.93,,,,,,0.0123188344060249,1980706.875,,25.7418834475073,0.03,AUTO,100,,0,USD,NONE,,01/08/26
MODR,Filled,ICBI,Buy,COPX,UP,500,MKT,DAY,500,74.75,,,,,,0.0649733686344474,769546.0625,,61.5701222033281,0.07,MAN,100,,0,USD,NONE,,01/08/26
MODR,Filled,ICBI,Buy,3067,HK,65200,MKT,DAY,65200,11.93,,,,,,0.15063052273412,43284720,,28.23357,0.005,AUTO,100,,0,HKD,NONE,,01/08/26
MODR,Filled,BTIA,Buy,PAVE,UF,559,MKT,DAY,559,49.98,,,,,,0.355512944880588,157237.59375,,22.8223966938146,0.03,ANY,100,,0,USD,CARE,,01/07/26
MODR,Filled,ICBI,Buy,AVGO,UW,61,MKT,DAY,61,341.42,,,,,,0.000523349540010072,11655690,,68.0171356564077,0.58,AUTO,100,Information Technology,0,USD,NONE,,01/07/26
MODR,Filled,BTIA,Buy,PAVE,UF,559,MKT,DAY,559,49.98,,,,,,0.355512944880588,157237.59375,,22.8223966938146,0.03,ANY,100,,0,USD,CARE,,01/07/26
MODR,Filled,ICBI,Buy,INFL,UP,220,MKT,DAY,220,45.21,,,,,,0.5256392391932,41853.80078125,,16.7350005960293,0.13,AUTO,100,,0,USD,NONE,,01/07/26
MODR,Filled,ICBI,Buy,SPY,US,43,MKT,DAY,43,687.86,,,,,,7.32766424328881E-05,58681728,,14.9237476209207,0.02,AUTO,100,,0,USD,NONE,,01/06/26
MODR,Filled,ICBI,Sell,TMF,UP,3300,MKT,DAY,3300,37.21,,,,,,0.364418030272233,905553.4375,,28.0596354237834,0.02,AUTO,100,,0,USD,NONE,,01/06/26
MODR,Filled,ICBI,Buy,COPX,UP,500,MKT,DAY,500,77.66,,,,,,0.0649733686344474,769546.0625,,61.5701222033281,0.07,AUTO,100,,0,USD,NONE,,01/06/26
MODR,Filled,ICBI,Buy,MSFT,UW,63,MKT,DAY,63,473.9,,,,,,0.000501451343459785,12563532,,35.5249743262538,0.04,AUTO,100,Information Technology,0,USD,NONE,,01/06/26
MODR,Filled,CICF,Buy,300308,C2,3900,MKT,DAY,3900,611.864615,,,,,,0.0128033617031754,30460750,,63.73666,1.12,MAN,100,Information Technology,0,CNY,,,01/06/26
MODR,Filled,CICF,Buy,002281,C2,34500,MKT,DAY,34500,70.405014,,,,,,0.0552117402244413,62486710,,83.05706,0.1,MAN,100,Information Technology,0,CNY,,,01/06/26
MODR,Filled,CICF,Buy,300394,C2,12000,MKT,DAY,12000,200.8555,,,,,,0.0183325758414843,65457250,,89.04206,0.06,MAN,100,Information Technology,0,CNY,,,01/06/26
MODR,Filled,BTIA,Buy,CSSMI,SW,583,137,OPG,583,137,,,,,,2.8726074948941,20295.15,,10.25887,0.058,ANY,100,,0,CHF,CARE,,01/05/26
MODR,Filled,BTIA,Buy,ZGLDHC,SW,87,MKT,OPG,87,911.8,,,,,,1.46175494602428,5951.75,,28.66129,1.7,ANY,100,,0,CHF,CARE,,01/05/26
MODR,Filled,ICBI,Buy,3067,HK,50000,12.05,DAY,50000,12.02,,,,,,0.115514204550705,43284720,,28.23357,0.005,MAN,100,,0,HKD,NONE,,01/05/26
MODR,Filled,BTIA,Buy,PAVE,US,1040,MKT,DAY,1040,48.08,,,,,,0.0577419617220763,1801116.5,,22.8223966938146,0.01,MAN,100,,0,USD,CARE,,01/02/26
MODR,Filled,BTIA,Buy,PAVE,US,816,MKT,GTD,816,48.66,,,,,,0.0453052315050137,1801116.5,,22.8223966938146,0.01,MAN,100,,0,USD,CARE,,12/30/25
MODR,Filled,ICBI,Buy,9988,HK,1600,145.5,DAY,1600,145.3,,,,,,0.00173199930416928,92378790,,40.85373,0.05,AUTO,100,Consumer Discretionary,0,HKD,NONE,,12/30/25
MODR,Filled,BTIA,Buy,SES,UN,1522,MKT,DAY,1522,1.91,,,,,,0.0965779702921214,1575928.75,,91.4161830167081,0.01,MAN,100,Industrials,0,USD,CARE,,12/29/25
MODR,Filled,BTIA,Buy,REKR,UR,1930,MKT,DAY,1930,1.53,,,,,,0.443923945535075,434759.15625,,68.3995713704744,0.0014,MAN,100,Information Technology,0,USD,CARE,,12/29/25
MODR,Filled,BTIA,Buy,RZLV,UQ,1070,MKT,DAY,1070,2.77,,,,,,0.0421919257469425,2536030.25,,82.4698325151124,0.01,MAN,100,Information Technology,0,USD,CARE,,12/29/25
MODR,Filled,BTIA,Sell,ERX,UP,250,MKT,DAY,250,55.22576,,,,,,0.244645325439444,102188.75,,53.4796594958816,0.08,ANY,100,,0,USD,CARE,,12/23/25
MODR,Filled,BTIA,Sell,SRPT,UW,1000,MKT,DAY,1000,21.18,,,,,,0.088521093580738,1129674.25,,53.5640037920965,0.02,ANY,100,Health Care,0,USD,CARE,,12/23/25
MODR,Filled,BTIA,Sell,NDM,CT,2500,MKT,DAY,2500,3.19,,,,,,0.198110972257332,1261919,,85.66816,0.04,ANY,100,Materials,0,CAD,CARE,,12/23/25
MODR,Filled,BTIA,Buy,PAVE,UF,1425,MKT,DAY,1425,49.02,,,,,,0.906271818344969,157237.59375,,22.8223966938146,0.03,MAN,100,,0,USD,CARE,,12/23/25
MODR,Filled,BTIA,Sell,TRVI,UQ,2000,MKT,DAY,2000,12.64,,,,,,0.426246160621009,469212.4375,,52.1441930751928,0.02,MAN,100,Health Care,0,USD,CARE,,12/23/25
MODR,Filled,BTIA,Sell,TNA,UP,1000,MKT,DAY,1000,49.25,,,,,,0.0496986614845872,2012126.625,,68.7020491633464,0.01,ANY,100,,0,USD,CARE,,12/23/25
MODR,Filled,BTIA,Buy,FOUR,US,2300,43.5,GTD,2300,43.5,,,,,,0.136053476114555,1690511.75,,58.5351672280912,0.04,ANY,100,Financials,0,USD,CARE,,03/25/26
MODR,Filled,BTIA,Buy,HRMY,US,3600,27.6,GTD,3600,27.6,,,,,,0.445498378107467,808083.75,,35.5705674542198,0.01,ANY,100,Health Care,0,USD,CARE,,03/25/26
MODR,Filled,ICBI,Buy,SMH,UQ,127,MKT,DAY,127,387.89,,,,,,0.0050824182145865,2498810.5,,55.8821326962082,0.89,AUTO,100,,0,USD,NONE,,03/24/26
MODR,Filled,ICBI,Buy,GDX,UP,1199,MKT,DAY,1199,82.04,,,,,,0.0143106278731286,8378388.5,,58.1860535473364,0.05,AUTO,100,,0,USD,NONE,,03/24/26
MODR,Filled,BTIA,Buy,PAVE,UF,597,MKT,DAY,597,49.74,,,,,,0.379680193369787,157237.59375,,22.8223966938146,0.03,ANY,100,,0,USD,CARE,,03/24/26
MODR,Filled,BTIA,Buy,PAVE,UF,996,MKT,DAY,996,49.74,,,,,,0.633436302506378,157237.59375,,22.8223966938146,0.03,ANY,100,,0,USD,CARE,,03/24/26
MODR,Filled,ICBI,Sell,ASML,UW,66,1400,GTC,66,1400,,,,,,0.0103528914419921,637503.0625,,57.7324724148431,1.14,MAN,100,Information Technology,0,USD,NONE,,03/24/26
MODR,Filled,ICBI,Buy,INFL,UP,1670,MKT,DAY,1670,50.8646,,,,,,3.9900796793302,41853.80078125,,16.7350005960293,0.13,AUTO,100,,0,USD,NONE,,03/23/26
MODR,Filled,BTIA,Buy,SRUUF,UV,535,MKT,DAY,535,18.8793,,,,,,0.150499712670379,355482.40625,,29.0221168134432,,ANY,100,,0,USD,CARE,,03/23/26
MODR,Filled,ICBI,Buy,GDX,UP,1035,MKT,DAY,1035,81.765,,,,,,0.0123532108829759,8378388.5,,58.1860535473364,0.05,AUTO,100,,0,USD,NONE,,03/23/26
MODR,Filled,ICBI,Sell,MCHI,UQ,200,MKT,GTC,200,55.5,,,,,,0.0286513735781868,698046.8125,,22.6147359162623,0.01,MAN,100,,0,USD,NONE,,03/23/26
MODR,Filled,BTIA,Sell,URNM,UP,482,MKT,DAY,482,61.26,,,,,,0.267607549642033,180114.5,,59.4282789730494,0.15,ANY,100,,0,USD,CARE,,03/20/26
MODR,Filled,BTIA,Buy,SRUUF,UV,5165,MKT,DAY,5165,19.418925,,,,,,1.452955169986,355482.40625,,29.0221168134432,,ANY,100,,0,USD,CARE,,03/20/26
MODR,Filled,BTIA,Buy,ISRG,UW,62,MKT,DAY,62,480.3,,,,,,0.0066368214870307,934182.125,,38.4410178463567,0.07,ANY,100,Health Care,0,USD,CARE,,03/20/26
MODR,Filled,BTIA,Buy,PAVE,UF,140,MKT,DAY,140,49.86,,,,,,0.0890372312759969,157237.59375,,22.8223966938146,0.03,ANY,100,,0,USD,CARE,,03/20/26
MODR,Filled,ICBI,Sell,ITOT,UP,320,MKT,DAY,320,143.65,,,,,,0.056504308012046,566328.5,,15.3126335634769,0.04,AUTO,100,,0,USD,NONE,,03/20/26
MODR,Filled,ICBI,Sell,PTGX,UQ,150,MKT,GTD,150,101.47,,,,,,0.0555090795507558,270226.0625,,51.5139926166197,0.08,MAN,100,Health Care,0,USD,NONE,,03/20/26
MODR,Filled,ICBI,Sell,SLGL,US,289,85,GTD,289,85,,,,,,0.676674715959239,42708.8515625,,76.538827122618,2.84,MAN,100,Health Care,0,USD,NONE,,03/20/26
MODR,Filled,ICBI,Buy,TIP,UP,2800,MKT,DAY,2800,110.72,,,,,,0.518544685819794,539972.75,,5.14215177806949,0.01,AUTO,100,,0,USD,NONE,,03/20/26
MODR,Filled,ICBI,Buy,INFL,UP,140,MKT,DAY,140,51.4,,,,,,0.3344976976684,41853.80078125,,16.7350005960293,0.13,AUTO,100,,0,USD,NONE,,03/20/26
MODR,Filled,ICBI,Buy,SPY,UP,9,MKT,DAY,9,656.43,,,,,,8.29167381439659E-05,10854262,,14.9237476209207,0.02,AUTO,100,,0,USD,NONE,,03/20/26
MODR,Filled,ICBI,Buy,9988,HK,11100,MKT,DAY,11100,126.3,,,,,,0.0120157451726744,92378790,,40.85373,0.05,AUTO,100,Consumer Discretionary,0,HKD,NONE,,03/20/26
MODR,Filled,ICBI,Buy,9888,HK,10200,MKT,DAY,10200,116.6,,,,,,0.0738440153769303,13812900,,43.16741,0.1,AUTO,100,Communication Services,0,HKD,NONE,,03/20/26
MODR,Filled,ICBI,Sell,GLD,UP,170,MKT,DAY,170,420.53,,,,,,0.00858279446321405,1980706.875,,25.7418834475073,0.03,AUTO,100,,0,USD,NONE,,03/19/26
MODR,Filled,ICBI,Sell,COPX,UP,200,MKT,DAY,200,69.62,,,,,,0.025989347453779,769546.0625,,61.5701222033281,0.07,AUTO,100,,0,USD,NONE,,03/19/26
MODR,Filled,ICBI,Buy,MSFT,UW,25,MKT,DAY,25,389.99,,,,,,0.000198988628357058,12563532,,35.5249743262538,0.04,AUTO,100,Information Technology,0,USD,NONE,,03/19/26
MODR,Filled,ICBI,Buy,SPY,UP,152,655,GTC,152,655,,,,,,0.00140037157754254,10854262,,14.9237476209207,0.02,MAN,100,,0,USD,NONE,,03/19/26
MODR,Filled,BTIA,Buy,SRUUF,UV,495,MKT,DAY,495,20.1799,,,,,,0.13924739770437,355482.40625,,29.0221168134432,,ANY,100,,0,USD,CARE,,03/18/26
MODR,Filled,ICBI,Sell,RSP,UP,2813,MKT,DAY,2813,195.25,,,,,,0.117192573373727,2400322.75,,12.1555419985634,0.02,AUTO,100,,0,USD,NONE,,03/16/26
MODR,Filled,ICBI,Sell,SPY,UP,487,MKT,GTC,487,671.18,,,,,,0.00448671683067905,10854262,,14.9237476209207,0.02,MAN,100,,0,USD,NONE,,03/12/26
