,Status,Side,ISIN,Name,Def Brkr Code,Security,Qty,Exch Code,TIF,LmtPx,Lst Trd/Lst Px,Bid,Ask,Volume,Time WAVG Px,AvgPx Vs IntervalVWAP (Bps),Net Chg on D Tdy,MC Lst Trd,FillQty,IntervalVWAP,Strategy Name,ID,% Filled,Working Qty,Idle,Brkr Code,Create Time (As of),FIGI,AvgPx,IntervalVWAP,Low,High,Open Px,Yest Cls Px,OpenPx Vs Yest Cls Px (Bps),ArrPx,AvgPx Vs ArrPx (Bps),Volatil 30D,FillQty % Avg Vol 20D,Day Part Rate %,% Chg D Tdy,TCA (20%),FillQty % VWAP Vol,% Remaining,P/L (T) Bps vs. ArrPx,Qty % Avg Vol 20D,AvgPx Vs ArrPx (Bps),Bid Ask Sprd,GICS Sector,RSI 14D,Last Update Datetime,Avg Vol 30D,Curncy,RSI Signal,Avg Vol 6M,Trade Date,Primary Exchange MIC (FIGI or Tkr+YKey),Value (Local),Handling Inst,Exchange Code For The Trade (FIGI or Tkr+YKey),News,Trader Notes
,Filled,Buy,US71722W1071,PHATHOM PHARMACEUTICALS INC,ICBI,PHAT,1500,UW,DAY,MKT,10.87,10.86,10.88,330036,10.67113734,0,,866.9472,1500,15.01,,O.EMS.839927.12438799.20260112,100,0,0,ICBI,01/12/26,BBG00QG3ZQT1,15.01,15.01,10.34,10.94,10.84,10.87,27.59889604,15.01,0,52.5240863,0.393731984,14.48296,,23.8639,14.48296,0,0,0.393731984,0,0.02,Health Care,52.00276947,01/12/26,380174.8125,USD,,388763.0625,01/12/26,XNGS,16305,ANY,Q,,
,Filled,Sell,US0381692070,APPLIED DIGITAL CORP,ICBI,APLD,1000,UW,DAY,MKT,37.77,37.78,37.79,5042474,37.48286431,-0.01068,,10793.51562,1000,36.63004,,O.EMS.839927.12438798.20260112,100,0,0,ICBI,01/12/26,BBG000DSMDC7,36.63,36.63004,36.1,40.36,39.9,37.77,563.9396346,36.63,0,102.6336978,0.017402911,0.27924,,29.2392,0.27924,0,0,0.017402911,0,0.01,Information Technology,39.94035721,01/12/26,5776759.5,USD,,5883037.5,01/12/26,XNGS,37770,ANY,Q,,
,Filled,Sell,CA7142661031,PERPETUA RESOURCES CORP,BTIA,PPTA,192,UR,DAY,MKT,20.62,20.61,20.64,501945,20.58549346,0.263808,,2576.462733,192,30.499195,,O.EMS.839927.12438797.20260112,100,0,0,BTIA,01/12/26,BBG0024TXNM6,30.5,30.499195,20.25,21.205,21.11,20.62,237.6333657,30.5,0,80.99858238,0.033199749,0.79019,,19.4397,0.79019,0,0,0.033199749,0,0.03,Materials,34.76855087,01/12/26,591988.625,USD,OVERSOLD,577965.9375,01/12/26,XNCM,3959.04,ANY,Q,,
,Filled,Sell,US7594191048,REKOR SYSTEMS INC,BTIA,REKR,1930,UR,DAY,MKT,0.6585,0.6509,0.6586,273980,0.644342402,0,,90.61494589,1930,1.69,,O.EMS.839927.12438796.20260112,100,0,0,BTIA,01/12/26,BBG00HL61094,1.69,1.69,0.6312,0.6612,0.644,0.6585,-220.1974184,1.69,0,69.04061842,0.403691925,1.57804,,28.0509,1.57804,0,0,0.403691925,0,0.0077,Information Technology,41.6578064,01/12/26,412751.5625,USD,,358418.4375,01/12/26,XNCM,1270.905,ANY,Q,,
,Filled,Sell,US49714P1084,KINSALE CAPITAL GROUP INC,ICBI,KNSL,25,UN,DAY,MKT,332.02,331.86,332.02,121187,326.8993654,0,,7657.316911,25,398.35,,O.EMS.839927.12438795.20260112,100,0,0,ICBI,01/12/26,BBG00D9MSYL5,398.35,398.35,323.42,332.25,328.04,332.02,-119.8722968,398.35,0,38.25800025,0.020968713,1.55958,,14.1317,1.55958,0,0,0.020968713,0,0.16,Financials,63.24271393,01/12/26,105531.2656,USD,,77096.98438,01/12/26,XNYS,8300.5,ANY,N,,
,Filled,Sell,US0357108390,ANNALY CAPITAL MANAGEMENT IN,ICBI,NLY,250,US,DAY,MKT,23.15,,,13577386,22.77686161,0.180629,,16963.76942,250,23.119582,,O.EMS.839927.12438794.20260112,100,0,0,ICBI,01/12/26,BBG000BJFJ98,23.12,23.119582,22.59,23.16,22.98,23.15,-73.43412527,23.12,0,20.47294471,0.002932261,0.16313,,4.6156,0.16313,0,0,0.002932261,0,0.01,Financials,67.58683014,01/12/26,8316750.5,USD,OVERBOUGHT,7787471,01/12/26,XNYS,5787.5,ANY,N,,
,Filled,Sell,US9229083632,VANGUARD S&P 500 ETF,ICBI,VOO,18,UP,DAY,MKT,681.01,680.85,680.93,840326,678.44732,0.00176,,966828.875,18,635.26989,,O.EMS.839927.12438793.20260112,100,0,0,ICBI,01/12/26,BBG0015VYNZ7,635.27,635.26989,673,681.53,677,681.01,-58.88312947,635.27,0,15.81213722,0.001436618,0.00674,,1.9431,0.00674,0,0,0.001436618,0,0.08,,51.09418488,01/12/26,1110311.125,USD,,1100932,01/12/26,ARCX,12258.18,ANY,P,,
,Filled,Buy,IE000YYE6WK5,VANECK DEFENSE ETF,CLLT,DFNS,349,LN,DAY,MKT,56.51,56.51,56.55,9071,56.59911353,2.50499,0.27,6888.568848,349,71.67796,,O.EMS.839927.12438792.20260112,100,0,0,CLLT,01/12/26,BBG01G0CY1X0,71.66,71.67796,56.45,56.82,56.67,56.24,-76.45803698,71.66,0,29.02508,0.387328692,2.1803,0.4801,12.7458,2.1803,0,0,0.387328692,0,0.05,,30.02358,01/12/26,84935.34,USD,OVERSOLD,106928.6,01/12/26,XLON,19721.99,ANY,L,,
,Filled,Buy,JP3548480007,DATASECTION INC,CICF,3905,6000,JP,GTD,MKT,3465,3465,3470,2501600,3519.124901,-7.315,-130,110939.0817,6000,"2,244.36",,O.EMS.839927.12438791.20260111,100,0,0,CICF,01/12/26,BBG006LXHXC6,2246,"2,244.36",3340,3750,3735,3595,-389.4297636,"2,246",0,175.4673,0.200420214,13.60544,-3.6161,36.1516,13.60544,0,0,0.200420214,0,5,Information Technology,41.69928,01/13/26,3710533,JPY,,1692176,01/13/26,XTKS,20790000,MAN,T,,
,Filled,Buy,US78462F1030,SS SPDR S&P 500 ETF TRUST-US,ICBI,SPY,43,UP,DAY,MKT,741,740.83,740.86,10217823,738.1415529,0.00556,,774776.375,43,688.81038,,O.EMS.839927.12438788.20260108,100,0,0,ICBI,01/08/26,BBG000BDTF76,688.81,688.81038,732.1,741.55,736.53,741,60.32388664,688.81,0,15.8053589,0.000368678,0.02632,,2.1629,0.02632,0,0,0.000368678,0,0.03,,51.5350647,01/08/26,10842813,USD,,14642293,01/08/26,ARCX,31863,ANY,P,,
